PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,PERP_SEX,PERP_RACE,DIA,MES
105,106,1211200,3,4,105,0,0,2,4,9
153,104,1302507,3,4,112,0,0,2,19,9
105,106,1211200,3,2,79,0,1,2,18,11
153,104,1302501,3,4,113,0,0,2,14,12
742,237,2050500,2,0,48,0,0,2,17,12
922,348,51102,3,4,116,0,0,2,26,12
105,106,1211200,3,0,40,0,0,2,31,12
105,106,1211300,3,0,50,0,0,2,6,9
157,104,130352,3,2,77,0,0,2,17,9
153,104,1302503,3,4,115,0,0,5,6,10
105,106,1211200,3,2,73,0,0,2,8,10
153,104,1302502,3,4,113,0,0,2,1,10
153,104,1302501,3,3,28,0,0,2,17,10
105,106,1211200,3,0,48,0,0,2,6,11
153,104,1302504,3,0,46,0,0,3,20,11
153,104,1302507,3,3,17,0,0,4,24,11
105,106,1211200,3,0,50,0,0,2,21,11
105,106,1211200,3,1,122,0,0,2,26,11
105,106,1211200,3,2,88,0,0,2,9,12
263,114,1501500,3,2,73,71,0,2,10,12
153,104,1302502,3,0,47,0,0,2,18,12
922,348,5110,2,4,116,0,1,0,26,12
105,106,1211200,3,2,83,0,0,2,30,12
114,344,1211100,2,4,116,0,0,2,28,12
922,348,511001,2,4,116,0,0,2,27,12
464,230,1652501,2,3,14,0,0,5,31,12
502,117,2201612,3,4,115,0,0,5,20,9
922,348,511001,2,4,114,0,0,6,5,9
339,341,1552500,2,4,110,0,0,5,4,9
339,341,1552500,2,4,103,0,0,5,2,9
849,677,0,1,2,73,1,0,2,20,9
101,344,1200001,2,2,79,0,0,2,18,9
115,355,1202000,2,0,46,0,0,3,5,9
779,126,215510,3,0,43,2,0,2,4,9
478,343,1651503,2,0,47,1,0,2,4,9
259,351,1450001,2,0,40,0,0,2,1,9
397,105,1600500,3,0,42,0,0,3,11,9
339,341,1552500,2,4,100,0,0,4,1,9
339,341,1552500,2,2,66,0,0,4,11,9
515,117,2203901,3,2,75,0,1,4,6,9
493,111,1654505,3,4,110,0,0,5,13,9
268,121,1450502,3,4,108,0,0,4,18,9
439,109,1553001,3,4,104,0,1,5,17,9
397,105,1601503,3,2,75,0,0,2,14,9
439,109,1553001,3,3,18,0,0,2,11,9
511,235,2200300,2,3,10,0,0,2,2,9
268,121,1450502,3,0,47,0,1,2,15,9
101,344,1200001,2,1,120,0,0,2,14,9
105,106,1211200,3,1,120,0,0,2,9,9
109,106,1200501,3,3,32,0,1,2,4,9
439,109,1553001,3,0,43,0,0,2,11,9
339,341,1552500,2,0,52,0,0,3,1,9
157,104,130351,3,3,5,0,0,6,19,9
748,359,2155003,2,4,104,0,0,2,16,9
203,352,140100,2,2,69,1,0,3,3,9
511,235,2200300,2,0,46,0,1,2,23,9
115,355,1202000,2,4,103,0,0,5,1,9
478,343,1651503,2,0,40,1,0,2,12,9
511,235,2200300,2,3,32,0,0,2,4,9
521,117,2203100,3,4,115,0,0,5,5,9
748,359,2155003,2,1,123,0,0,4,12,9
782,236,2650101,2,2,81,0,1,2,6,9
101,344,1200001,2,0,46,0,1,3,1,9
223,107,1402502,3,4,110,0,0,5,10,9
922,348,511001,2,0,44,0,0,5,8,9
101,344,1200001,2,2,66,0,0,3,17,9
101,344,1200001,2,2,75,0,0,2,3,9
114,344,1211100,2,3,30,0,0,2,14,9
511,235,2200300,2,3,14,1,0,5,17,9
748,359,2155003,2,3,32,0,1,2,12,9
339,341,1552500,2,4,112,0,0,2,21,9
397,105,1601502,3,2,70,0,0,5,17,9
101,344,1200001,2,4,103,0,0,2,5,9
101,344,1200001,2,1,120,0,0,5,14,9
105,106,1211200,3,4,114,0,0,2,5,9
940,881,6002,2,2,61,0,0,6,23,9
922,348,5110,2,3,33,0,1,5,9,9
209,231,1403500,2,2,63,0,1,4,18,9
397,105,1601502,3,0,52,0,0,2,5,9
339,341,1552500,2,2,70,0,1,5,12,9
106,106,1200800,3,3,23,0,0,2,7,9
503,117,2201601,3,2,60,0,0,4,4,9
113,344,1201401,2,3,18,1,0,5,7,9
101,344,1200001,2,2,67,0,1,5,1,9
109,106,1201001,3,2,71,0,0,2,11,9
511,235,2200300,2,2,75,0,0,3,19,9
109,106,1200501,3,0,40,0,0,3,19,9
441,110,1553008,3,3,10,0,0,2,21,9
109,106,1200502,3,0,52,0,1,3,7,9
759,359,1950500,2,0,40,0,1,5,19,9
779,126,215510,3,0,45,0,0,5,9,9
792,118,265031,3,3,25,2,0,2,3,9
439,109,1553001,3,2,75,0,1,2,23,9
268,121,1451000,3,3,10,0,0,4,5,9
113,344,1201401,2,0,43,0,0,5,1,9
339,341,1552500,2,2,71,1,0,2,6,9
